Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

DATE,HOUR,STATION,NO2,RSP,O3,FSP
3/1/2024,14,CAUSEWAY BAY,124,56,20,35
3/1/2024,15,CAUSEWAY BAY,117,58,28,34
3/1/2024,16,CAUSEWAY BAY,124,61,29,35
3/1/2024,17,CAUSEWAY BAY,117,63,34,36
3/1/2024,18,CAUSEWAY BAY,101,56,28,31
3/1/2024,19,CAUSEWAY BAY,80,46,32,28
3/1/2024,20,CAUSEWAY BAY,82,43,26,27
3/1/2024,21,CAUSEWAY BAY,58,44,35,29
3/1/2024,22,CAUSEWAY BAY,61,39,29,27
3/1/2024,23,CAUSEWAY BAY,68,37,33,25
3/1/2024,24,CAUSEWAY BAY,72,35,30,23
4/1/2024,01,CAUSEWAY BAY,42,29,47,19
4/1/2024,02,CAUSEWAY BAY,27,22,64,14
4/1/2024,03,CAUSEWAY BAY,24,19,71,12
4/1/2024,04,CAUSEWAY BAY,27,26,66,16
4/1/2024,05,CAUSEWAY BAY,32,26,63,17
4/1/2024,06,CAUSEWAY BAY,36,24,57,15
4/1/2024,07,CAUSEWAY BAY,64,31,31,18
4/1/2024,08,CAUSEWAY BAY,74,33,26,19
4/1/2024,09,CAUSEWAY BAY,74,36,24,21
4/1/2024,10,CAUSEWAY BAY,84,42,23,25
4/1/2024,11,CAUSEWAY BAY,79,48,37,28
4/1/2024,12,CAUSEWAY BAY,93,52,39,31
4/1/2024,13,CAUSEWAY BAY,99,53,33,32
4/1/2024,14,CAUSEWAY BAY,95,50,52,30
4/1/2024,15,CAUSEWAY BAY,83,55,64,32
4/1/2024,16,CAUSEWAY BAY,102,46,51,27
4/1/2024,17,CAUSEWAY BAY,68,49,77,29
4/1/2024,18,CAUSEWAY BAY,66,51,73,30
4/1/2024,19,CAUSEWAY BAY,89,43,63,26
4/1/2024,20,CAUSEWAY BAY,106,53,42,34
4/1/2024,21,CAUSEWAY BAY,98,60,51,39
4/1/2024,22,CAUSEWAY BAY,99,56,52,37
4/1/2024,23,CAUSEWAY BAY,45,45,94,27
4/1/2024,24,CAUSEWAY BAY,39,40,96,25
5/1/2024,01,CAUSEWAY BAY,38,44,97,28
5/1/2024,02,CAUSEWAY BAY,36,36,98,21
5/1/2024,03,CAUSEWAY BAY,22,37,108,22
5/1/2024,04,CAUSEWAY BAY,34,38,97,21
5/1/2024,05,CAUSEWAY BAY,N.A.,39,105,18
5/1/2024,06,CAUSEWAY BAY,22,46,100,22
5/1/2024,07,CAUSEWAY BAY,55,49,67,24
5/1/2024,08,CAUSEWAY BAY,86,50,42,26
5/1/2024,09,CAUSEWAY BAY,118,55,24,31
5/1/2024,10,CAUSEWAY BAY,97,69,36,41
5/1/2024,11,CAUSEWAY BAY,103,64,45,37
5/1/2024,12,CAUSEWAY BAY,115,61,48,34
5/1/2024,13,CAUSEWAY BAY,136,59,23,34
5/1/2024,14,CAUSEWAY BAY,148,67,18,44
5/1/2024,15,CAUSEWAY BAY,146,71,18,45
5/1/2024,16,CAUSEWAY BAY,146,63,15,39
5/1/2024,17,CAUSEWAY BAY,143,64,16,41
5/1/2024,18,CAUSEWAY BAY,111,63,32,41
5/1/2024,19,CAUSEWAY BAY,113,55,52,36
5/1/2024,20,CAUSEWAY BAY,129,59,N.A.,38
5/1/2024,21,CAUSEWAY BAY,115,56,17,38
5/1/2024,22,CAUSEWAY BAY,118,57,13,38
5/1/2024,23,CAUSEWAY BAY,111,53,11,38
5/1/2024,24,CAUSEWAY BAY,102,56,11,39
6/1/2024,01,CAUSEWAY BAY,92,41,12,29
6/1/2024,02,CAUSEWAY BAY,78,39,13,27
6/1/2024,03,CAUSEWAY BAY,70,46,18,32
6/1/2024,04,CAUSEWAY BAY,57,47,28,33
6/1/2024,05,CAUSEWAY BAY,61,44,27,30
6/1/2024,06,CAUSEWAY BAY,62,42,20,29
6/1/2024,07,CAUSEWAY BAY,75,49,9,34
6/1/2024,08,CAUSEWAY BAY,85,61,8,41
6/1/2024,09,CAUSEWAY BAY,108,64,9,42
6/1/2024,10,CAUSEWAY BAY,137,76,10,48
6/1/2024,11,CAUSEWAY BAY,137,75,11,46
6/1/2024,12,CAUSEWAY BAY,152,82,13,50
6/1/2024,13,CAUSEWAY BAY,184,87,12,53
6/1/2024,14,CAUSEWAY BAY,123,81,53,51
6/1/2024,15,CAUSEWAY BAY,144,74,34,48
6/1/2024,16,CAUSEWAY BAY,176,81,15,55
6/1/2024,17,CAUSEWAY BAY,208,79,11,53
6/1/2024,18,CAUSEWAY BAY,213,80,10,48
6/1/2024,19,CAUSEWAY BAY,197,94,15,65
6/1/2024,20,CAUSEWAY BAY,165,93,20,66
6/1/2024,21,CAUSEWAY BAY,139,78,25,55
6/1/2024,22,CAUSEWAY BAY,139,71,27,52
6/1/2024,23,CAUSEWAY BAY,96,67,71,49
6/1/2024,24,CAUSEWAY BAY,80,68,96,52
7/1/2024,01,CAUSEWAY BAY,100,79,72,58
7/1/2024,02,CAUSEWAY BAY,45,65,125,49
7/1/2024,03,CAUSEWAY BAY,45,65,116,47
7/1/2024,04,CAUSEWAY BAY,34,61,120,44
7/1/2024,05,CAUSEWAY BAY,N.A.,59,114,43
7/1/2024,06,CAUSEWAY BAY,59,63,88,43
7/1/2024,07,CAUSEWAY BAY,77,53,66,36
7/1/2024,08,CAUSEWAY BAY,86,58,62,39
7/1/2024,09,CAUSEWAY BAY,108,60,31,40
7/1/2024,10,CAUSEWAY BAY,89,51,48,34
7/1/2024,11,CAUSEWAY BAY,94,61,56,40
7/1/2024,12,CAUSEWAY BAY,72,64,76,43
7/1/2024,13,CAUSEWAY BAY,73,58,72,38
7/1/2024,14,CAUSEWAY BAY,81,62,84,41
7/1/2024,15,CAUSEWAY BAY,93,66,86,42
7/1/2024,16,CAUSEWAY BAY,97,66,81,42
7/1/2024,17,CAUSEWAY BAY,103,64,74,41
7/1/2024,18,CAUSEWAY BAY,78,65,94,41
7/1/2024,19,CAUSEWAY BAY,79,60,87,37
7/1/2024,20,CAUSEWAY BAY,101,66,58,41
7/1/2024,21,CAUSEWAY BAY,78,71,73,48
7/1/2024,22,CAUSEWAY BAY,86,65,67,41
7/1/2024,23,CAUSEWAY BAY,84,71,64,45
7/1/2024,24,CAUSEWAY BAY,89,68,60,42
8/1/2024,01,CAUSEWAY BAY,50,71,86,44
8/1/2024,02,CAUSEWAY BAY,36,57,99,33
8/1/2024,03,CAUSEWAY BAY,28,68,112,40
8/1/2024,04,CAUSEWAY BAY,19,88,128,53
8/1/2024,05,CAUSEWAY BAY,14,87,133,53
8/1/2024,06,CAUSEWAY BAY,31,82,111,50
8/1/2024,07,CAUSEWAY BAY,68,84,77,53
8/1/2024,08,CAUSEWAY BAY,74,85,66,55
8/1/2024,09,CAUSEWAY BAY,105,87,45,57
8/1/2024,10,CAUSEWAY BAY,112,88,37,57
8/1/2024,11,CAUSEWAY BAY,105,86,47,57
8/1/2024,12,CAUSEWAY BAY,121,82,39,54
8/1/2024,13,CAUSEWAY BAY,94,82,69,56
8/1/2024,14,CAUSEWAY BAY,106,69,62,45
8/1/2024,15,CAUSEWAY BAY,112,73,55,48
8/1/2024,16,CAUSEWAY BAY,132,79,41,52
8/1/2024,17,CAUSEWAY BAY,146,72,35,45
8/1/2024,18,CAUSEWAY BAY,121,75,55,47
8/1/2024,19,CAUSEWAY BAY,101,58,69,33
8/1/2024,20,CAUSEWAY BAY,80,65,84,40
8/1/2024,21,CAUSEWAY BAY,58,71,96,45
8/1/2024,22,CAUSEWAY BAY,87,63,67,40
8/1/2024,23,CAUSEWAY BAY,77,63,70,39
8/1/2024,24,CAUSEWAY BAY,80,61,N.A.,38
9/1/2024,01,CAUSEWAY BAY,45,58,89,35
9/1/2024,02,CAUSEWAY BAY,N.A.,46,76,26
9/1/2024,03,CAUSEWAY BAY,42,54,84,32
9/1/2024,04,CAUSEWAY BAY,33,55,90,32
9/1/2024,05,CAUSEWAY BAY,N.A.,42,88,23
9/1/2024,06,CAUSEWAY BAY,44,50,79,29
9/1/2024,07,CAUSEWAY BAY,60,70,61,42
9/1/2024,08,CAUSEWAY BAY,97,80,33,48
9/1/2024,09,CAUSEWAY BAY,94,76,35,45
9/1/2024,10,CAUSEWAY BAY,133,72,11,45
9/1/2024,11,CAUSEWAY BAY,107,77,31,46
9/1/2024,12,CAUSEWAY BAY,113,65,29,39
9/1/2024,13,CAUSEWAY BAY,137,70,19,45
9/1/2024,14,CAUSEWAY BAY,144,80,20,53
9/1/2024,15,CAUSEWAY BAY,160,78,18,49
9/1/2024,16,CAUSEWAY BAY,166,92,15,60
9/1/2024,17,CAUSEWAY BAY,171,88,20,56
9/1/2024,18,CAUSEWAY BAY,166,85,26,55
9/1/2024,19,CAUSEWAY BAY,173,83,12,54
9/1/2024,20,CAUSEWAY BAY,162,89,14,59
9/1/2024,21,CAUSEWAY BAY,145,101,12,68
9/1/2024,22,CAUSEWAY BAY,139,90,9,59
9/1/2024,23,CAUSEWAY BAY,129,103,8,72
9/1/2024,24,CAUSEWAY BAY,151,101,7,66
10/1/2024,01,CAUSEWAY BAY,72,86,62,56
10/1/2024,02,CAUSEWAY BAY,43,74,79,48
10/1/2024,03,CAUSEWAY BAY,31,54,79,33
10/1/2024,04,CAUSEWAY BAY,25,55,70,36
10/1/2024,05,CAUSEWAY BAY,24,54,61,37
10/1/2024,06,CAUSEWAY BAY,31,18,56,13
10/1/2024,07,CAUSEWAY BAY,51,16,38,10
10/1/2024,08,CAUSEWAY BAY,70,33,25,22
10/1/2024,09,CAUSEWAY BAY,90,29,13,19
10/1/2024,10,CAUSEWAY BAY,84,22,13,13
10/1/2024,11,CAUSEWAY BAY,86,33,14,19
10/1/2024,12,CAUSEWAY BAY,100,35,13,19
10/1/2024,13,CAUSEWAY BAY,110,38,17,22
10/1/2024,14,CAUSEWAY BAY,114,42,21,26
10/1/2024,15,CAUSEWAY BAY,125,47,15,28
10/1/2024,16,CAUSEWAY BAY,106,48,25,29
10/1/2024,17,CAUSEWAY BAY,102,52,26,31
10/1/2024,18,CAUSEWAY BAY,103,46,23,29
10/1/2024,19,CAUSEWAY BAY,80,54,48,33
10/1/2024,20,CAUSEWAY BAY,86,56,27,35
10/1/2024,21,CAUSEWAY BAY,74,49,31,30
10/1/2024,22,CAUSEWAY BAY,66,48,30,30
10/1/2024,23,CAUSEWAY BAY,70,39,23,26
10/1/2024,24,CAUSEWAY BAY,69,41,24,27
11/1/2024,01,CAUSEWAY BAY,39,36,46,23
11/1/2024,02,CAUSEWAY BAY,48,29,47,18
11/1/2024,03,CAUSEWAY BAY,35,33,52,21
11/1/2024,04,CAUSEWAY BAY,22,33,59,22
11/1/2024,05,CAUSEWAY BAY,N.A.,28,56,20
11/1/2024,06,CAUSEWAY BAY,28,27,54,19
11/1/2024,07,CAUSEWAY BAY,53,27,35,18
11/1/2024,08,CAUSEWAY BAY,74,34,21,23
11/1/2024,09,CAUSEWAY BAY,84,41,16,27
11/1/2024,10,CAUSEWAY BAY,79,48,22,32
11/1/2024,11,CAUSEWAY BAY,88,48,28,31
11/1/2024,12,CAUSEWAY BAY,79,52,48,32
11/1/2024,13,CAUSEWAY BAY,86,54,57,33
11/1/2024,14,CAUSEWAY BAY,70,59,73,39
11/1/2024,15,CAUSEWAY BAY,84,59,80,38
11/1/2024,16,CAUSEWAY BAY,100,72,68,47
11/1/2024,17,CAUSEWAY BAY,70,77,97,52
11/1/2024,18,CAUSEWAY BAY,66,75,94,51
11/1/2024,19,CAUSEWAY BAY,95,66,60,45
11/1/2024,20,CAUSEWAY BAY,79,67,68,47
11/1/2024,21,CAUSEWAY BAY,70,66,67,48
11/1/2024,22,CAUSEWAY BAY,85,67,57,47
11/1/2024,23,CAUSEWAY BAY,93,64,46,45
11/1/2024,24,CAUSEWAY BAY,65,56,73,38
12/1/2024,01,CAUSEWAY BAY,61,57,79,39
12/1/2024,02,CAUSEWAY BAY,51,63,91,42
12/1/2024,03,CAUSEWAY BAY,43,70,92,46
12/1/2024,04,CAUSEWAY BAY,29,69,108,44
12/1/2024,05,CAUSEWAY BAY,29,70,103,45
12/1/2024,06,CAUSEWAY BAY,36,68,92,42
12/1/2024,07,CAUSEWAY BAY,58,68,66,42
12/1/2024,08,CAUSEWAY BAY,88,69,43,43
12/1/2024,09,CAUSEWAY BAY,80,77,53,50
12/1/2024,10,CAUSEWAY BAY,103,84,40,54
12/1/2024,11,CAUSEWAY BAY,116,87,36,55
12/1/2024,12,CAUSEWAY BAY,107,81,51,51
12/1/2024,13,CAUSEWAY BAY,109,76,58,49
12/1/2024,14,CAUSEWAY BAY,123,79,50,52
12/1/2024,15,CAUSEWAY BAY,101,82,68,54
12/1/2024,16,CAUSEWAY BAY,92,83,83,56
12/1/2024,17,CAUSEWAY BAY,78,80,93,53
12/1/2024,18,CAUSEWAY BAY,59,75,109,50
12/1/2024,19,CAUSEWAY BAY,69,78,121,54
12/1/2024,20,CAUSEWAY BAY,104,98,82,71
12/1/2024,21,CAUSEWAY BAY,121,93,56,69
12/1/2024,22,CAUSEWAY BAY,112,96,50,70
12/1/2024,23,CAUSEWAY BAY,107,82,49,59
12/1/2024,24,CAUSEWAY BAY,108,80,49,59
13/1/2024,01,CAUSEWAY BAY,108,87,47,65
13/1/2024,02,CAUSEWAY BAY,67,82,85,60
13/1/2024,03,CAUSEWAY BAY,59,82,99,59
13/1/2024,04,CAUSEWAY BAY,38,81,113,61
13/1/2024,05,CAUSEWAY BAY,N.A.,70,94,51
13/1/2024,06,CAUSEWAY BAY,54,68,87,49
13/1/2024,07,CAUSEWAY BAY,88,60,51,42
13/1/2024,08,CAUSEWAY BAY,105,56,30,39
13/1/2024,09,CAUSEWAY BAY,113,45,29,29
13/1/2024,10,CAUSEWAY BAY,101,54,38,35
13/1/2024,11,CAUSEWAY BAY,108,56,41,35
13/1/2024,12,CAUSEWAY BAY,113,64,46,42
13/1/2024,13,CAUSEWAY BAY,97,62,58,40
13/1/2024,14,CAUSEWAY BAY,102,61,62,40
13/1/2024,15,CAUSEWAY BAY,114,57,45,35
13/1/2024,16,CAUSEWAY BAY,106,51,54,29
13/1/2024,17,CAUSEWAY BAY,103,41,66,24
13/1/2024,18,CAUSEWAY BAY,104,53,75,35
13/1/2024,19,CAUSEWAY BAY,105,55,78,34
13/1/2024,20,CAUSEWAY BAY,119,50,40,30
13/1/2024,21,CAUSEWAY BAY,91,43,53,26
13/1/2024,22,CAUSEWAY BAY,87,44,49,27
13/1/2024,23,CAUSEWAY BAY,74,36,50,20
13/1/2024,24,CAUSEWAY BAY,46,33,71,17
14/1/2024,01,CAUSEWAY BAY,37,32,77,17
14/1/2024,02,CAUSEWAY BAY,31,35,83,19
14/1/2024,03,CAUSEWAY BAY,31,31,82,14
14/1/2024,04,CAUSEWAY BAY,32,34,78,16
14/1/2024,05,CAUSEWAY BAY,49,24,64,12
14/1/2024,06,CAUSEWAY BAY,36,23,79,12
14/1/2024,07,CAUSEWAY BAY,68,23,46,11
14/1/2024,08,CAUSEWAY BAY,81,27,35,15
14/1/2024,09,CAUSEWAY BAY,81,28,35,16
14/1/2024,10,CAUSEWAY BAY,88,30,28,18
14/1/2024,11,CAUSEWAY BAY,99,29,24,18
14/1/2024,12,CAUSEWAY BAY,93,27,35,16
14/1/2024,13,CAUSEWAY BAY,79,32,48,19
14/1/2024,14,CAUSEWAY BAY,87,33,34,19
14/1/2024,15,CAUSEWAY BAY,95,34,33,21
14/1/2024,16,CAUSEWAY BAY,91,38,40,24
14/1/2024,17,CAUSEWAY BAY,88,36,40,21
14/1/2024,18,CAUSEWAY BAY,83,38,46,22
14/1/2024,19,CAUSEWAY BAY,57,38,67,23
14/1/2024,20,CAUSEWAY BAY,37,34,94,20
14/1/2024,21,CAUSEWAY BAY,42,38,60,24
14/1/2024,22,CAUSEWAY BAY,33,32,87,19
14/1/2024,23,CAUSEWAY BAY,29,31,104,18
14/1/2024,24,CAUSEWAY BAY,85,33,47,18
15/1/2024,01,CAUSEWAY BAY,89,33,27,18
15/1/2024,02,CAUSEWAY BAY,71,25,37,14
15/1/2024,03,CAUSEWAY BAY,62,31,39,19
15/1/2024,04,CAUSEWAY BAY,55,27,43,16
15/1/2024,05,CAUSEWAY BAY,N.A.,17,50,10
15/1/2024,06,CAUSEWAY BAY,53,24,44,13
15/1/2024,07,CAUSEWAY BAY,87,33,15,18
15/1/2024,08,CAUSEWAY BAY,56,39,63,22
15/1/2024,09,CAUSEWAY BAY,71,31,43,16
15/1/2024,10,CAUSEWAY BAY,93,36,24,18
15/1/2024,11,CAUSEWAY BAY,113,37,17,19
15/1/2024,12,CAUSEWAY BAY,99,40,34,21
15/1/2024,13,CAUSEWAY BAY,102,49,54,27
15/1/2024,14,CAUSEWAY BAY,99,41,63,23
15/1/2024,15,CAUSEWAY BAY,104,46,83,25
15/1/2024,16,CAUSEWAY BAY,105,54,83,32
15/1/2024,17,CAUSEWAY BAY,74,46,96,27
15/1/2024,18,CAUSEWAY BAY,76,46,75,26
15/1/2024,19,CAUSEWAY BAY,78,43,65,24
15/1/2024,20,CAUSEWAY BAY,59,39,78,21
15/1/2024,21,CAUSEWAY BAY,58,48,90,26
15/1/2024,22,CAUSEWAY BAY,40,49,95,27
15/1/2024,23,CAUSEWAY BAY,41,60,89,36
15/1/2024,24,CAUSEWAY BAY,29,50,N.A.,28
16/1/2024,01,CAUSEWAY BAY,38,49,73,27
16/1/2024,02,CAUSEWAY BAY,26,47,83,26
16/1/2024,03,CAUSEWAY BAY,28,42,83,21
16/1/2024,04,CAUSEWAY BAY,26,32,84,15
16/1/2024,05,CAUSEWAY BAY,25,28,84,14
16/1/2024,06,CAUSEWAY BAY,29,28,86,15
16/1/2024,07,CAUSEWAY BAY,58,33,62,19
16/1/2024,08,CAUSEWAY BAY,71,37,48,21
16/1/2024,09,CAUSEWAY BAY,97,40,28,22
16/1/2024,10,CAUSEWAY BAY,70,45,45,28
16/1/2024,11,CAUSEWAY BAY,65,57,52,36
16/1/2024,12,CAUSEWAY BAY,79,47,44,30
16/1/2024,13,CAUSEWAY BAY,88,45,47,29
16/1/2024,14,CAUSEWAY BAY,96,54,49,37
16/1/2024,15,CAUSEWAY BAY,94,52,61,34
16/1/2024,16,CAUSEWAY BAY,84,54,75,34
16/1/2024,17,CAUSEWAY BAY,90,57,68,37
16/1/2024,18,CAUSEWAY BAY,85,61,71,39
16/1/2024,19,CAUSEWAY BAY,104,48,54,30
16/1/2024,20,CAUSEWAY BAY,87,55,66,34
16/1/2024,21,CAUSEWAY BAY,66,48,69,29
16/1/2024,22,CAUSEWAY BAY,61,49,70,29
16/1/2024,23,CAUSEWAY BAY,63,44,67,24
16/1/2024,24,CAUSEWAY BAY,54,40,69,21
17/1/2024,01,CAUSEWAY BAY,49,48,74,25
17/1/2024,02,CAUSEWAY BAY,34,43,80,21
17/1/2024,03,CAUSEWAY BAY,30,39,81,18
17/1/2024,04,CAUSEWAY BAY,33,34,74,16
17/1/2024,05,CAUSEWAY BAY,N.A.,37,81,19
17/1/2024,06,CAUSEWAY BAY,40,43,71,23
17/1/2024,07,CAUSEWAY BAY,47,48,63,27
17/1/2024,08,CAUSEWAY BAY,80,52,33,30
17/1/2024,09,CAUSEWAY BAY,88,55,28,33
17/1/2024,10,CAUSEWAY BAY,80,58,40,37
17/1/2024,11,CAUSEWAY BAY,83,N.A.,41,N.A.
17/1/2024,12,CAUSEWAY BAY,89,N.A.,35,N.A.
17/1/2024,13,CAUSEWAY BAY,84,N.A.,37,N.A.
17/1/2024,14,CAUSEWAY BAY,85,N.A.,39,N.A.
17/1/2024,15,CAUSEWAY BAY,88,45,54,27
17/1/2024,16,CAUSEWAY BAY,82,48,52,28
17/1/2024,17,CAUSEWAY BAY,102,49,33,30
17/1/2024,18,CAUSEWAY BAY,109,45,41,26
17/1/2024,19,CAUSEWAY BAY,104,50,44,30
17/1/2024,20,CAUSEWAY BAY,88,54,45,33
17/1/2024,21,CAUSEWAY BAY,80,57,47,32
17/1/2024,22,CAUSEWAY BAY,63,49,62,26
17/1/2024,23,CAUSEWAY BAY,77,43,42,23
17/1/2024,24,CAUSEWAY BAY,64,38,53,21
18/1/2024,01,CAUSEWAY BAY,54,31,55,15
18/1/2024,02,CAUSEWAY BAY,33,26,83,13
18/1/2024,03,CAUSEWAY BAY,21,28,89,15
18/1/2024,04,CAUSEWAY BAY,22,32,83,16
18/1/2024,05,CAUSEWAY BAY,25,33,78,15
18/1/2024,06,CAUSEWAY BAY,27,32,76,15
18/1/2024,07,CAUSEWAY BAY,36,38,68,19
18/1/2024,08,CAUSEWAY BAY,58,43,49,22
18/1/2024,09,CAUSEWAY BAY,80,43,31,22
18/1/2024,10,CAUSEWAY BAY,93,44,24,22
18/1/2024,11,CAUSEWAY BAY,90,46,24,23
18/1/2024,12,CAUSEWAY BAY,80,43,36,21
18/1/2024,13,CAUSEWAY BAY,81,43,36,22
18/1/2024,14,CAUSEWAY BAY,80,39,42,18
18/1/2024,15,CAUSEWAY BAY,71,39,59,22
18/1/2024,16,CAUSEWAY BAY,61,39,52,18
18/1/2024,17,CAUSEWAY BAY,72,41,52,19
18/1/2024,18,CAUSEWAY BAY,72,41,48,19
18/1/2024,19,CAUSEWAY BAY,62,40,54,21
18/1/2024,20,CAUSEWAY BAY,56,42,46,24
18/1/2024,21,CAUSEWAY BAY,54,40,44,23
18/1/2024,22,CAUSEWAY BAY,64,37,36,22
18/1/2024,23,CAUSEWAY BAY,59,36,40,22
18/1/2024,24,CAUSEWAY BAY,56,30,44,16
19/1/2024,01,CAUSEWAY BAY,51,31,42,18
19/1/2024,02,CAUSEWAY BAY,71,30,22,17
19/1/2024,03,CAUSEWAY BAY,63,20,36,12
19/1/2024,04,CAUSEWAY BAY,45,24,50,13
19/1/2024,05,CAUSEWAY BAY,N.A.,22,67,13
19/1/2024,06,CAUSEWAY BAY,50,17,62,10
19/1/2024,07,CAUSEWAY BAY,91,21,19,12
19/1/2024,08,CAUSEWAY BAY,114,35,10,20
19/1/2024,09,CAUSEWAY BAY,125,45,12,26
19/1/2024,10,CAUSEWAY BAY,117,42,18,24
19/1/2024,11,CAUSEWAY BAY,134,42,22,24
19/1/2024,12,CAUSEWAY BAY,120,42,36,24
19/1/2024,13,CAUSEWAY BAY,105,45,47,28
19/1/2024,14,CAUSEWAY BAY,107,50,45,32
19/1/2024,15,CAUSEWAY BAY,99,43,45,27
19/1/2024,16,CAUSEWAY BAY,104,49,24,30
19/1/2024,17,CAUSEWAY BAY,84,42,48,23
19/1/2024,18,CAUSEWAY BAY,87,38,43,22
19/1/2024,19,CAUSEWAY BAY,80,39,38,23
19/1/2024,20,CAUSEWAY BAY,82,38,29,25
19/1/2024,21,CAUSEWAY BAY,49,32,58,21
19/1/2024,22,CAUSEWAY BAY,72,34,41,22
19/1/2024,23,CAUSEWAY BAY,67,30,44,19
19/1/2024,24,CAUSEWAY BAY,61,36,41,23
20/1/2024,01,CAUSEWAY BAY,53,26,43,14
20/1/2024,02,CAUSEWAY BAY,37,21,49,11
20/1/2024,03,CAUSEWAY BAY,32,21,51,12
20/1/2024,04,CAUSEWAY BAY,30,11,54,6
20/1/2024,05,CAUSEWAY BAY,27,15,53,8
20/1/2024,06,CAUSEWAY BAY,28,16,55,9
20/1/2024,07,CAUSEWAY BAY,47,19,39,11
20/1/2024,08,CAUSEWAY BAY,71,27,28,18
20/1/2024,09,CAUSEWAY BAY,88,30,12,20
20/1/2024,10,CAUSEWAY BAY,100,38,11,23
